id,"productnaam","productomschrijving","img","link","specialeactie"
1,"Or Crew","Neck T-shirt Heren","J&J_OR-CREW-NECK_4312C52207_1010.jpg","/jack-jones-t-shirt-original-crew-4312c52207","Slechts"
2,"Camo","Herenshort","J&J_CAMO_4365C52002_5507.jpg","/jack-jones-short-camo-4365c52002","Slechts"
3,"Binno","Playsuit dames","ICHI_BINNO-JUMPSUIT_4185C52005_4106.jpg","",""
4,"Berot","Damesshort","ONLY_BEROT_4181C52025_1149.jpg","/only-short-berot-4181c52025","2 voor &euro;25"
5,"Selfiestick","Kit","4T7A0113.jpg","",""
6,"Universal 180&deg;","Fish Eye lens","BLACK-EYE_UNIVERSAL-FISH-EYE_2g52c50007_0101_01_be_Ver1.jpg","/black-eye-e-gadget-the-original-180-fisheye-lens-2h61c52007",""
7,"Clipper","Wide angle lens","BLACK-EYE_CLIPPER-WIDE-ANGLE_2g52c50008_0101_02_be_Ver1-copy.jpg","/black-eye-e-gadget-clipper-wide-angle-2h61c52008",""
8,"Darwin 3","en Maxi Comfort Luchtmatras","COLEMAN_DARWIN_3PLUS_MATRAS.jpg","/index.cfm/fuseaction/products.search/?searchvalue=coleman+aanbod","Setprijs"
9,"Moji","Campinglamp","BLACK-DIAMOND_MOJI_2541c50002_4040_01.jpg_be-copy.jpg","/black-diamond-lantaarn-moji-light-2931c52002","Gebruik je ecocheques"
10,"Hero 4 Silver","Camera","GOPRO_4.jpg","/gopro-video-hero-4-silver-2E21D42002","Gratis bundle t.w.v. &euro;59,95"
11,"Moore","Shirt Heren","EIDER_MOORE_3315C52049_6161.jpg","",""
12,"Refractor","Duffle Pack","THE-NORTH-FACE_REFRACTOR-DUFFEL-PACK_2146c50001_7070_01_be-copy.jpg","/the-north-face-trolley-refractor-duffle-pack-2261c52001",""
13,"Flyweight pack","Dagrugzak 17l","THE-NORTH-FACE_FLYWEIGHT-PACK_2111c10013_7071_53.jpg","/the-north-face-dagrugzak-flyweight-2111C10013",""
14,"No matter what","Flatbed 20 Trolley","EAGLE-CREEK_FLATBED20_2261D42006_7070.jpg","/eagle-creek-trolley-no-matter-what-flatbed-20-2261d42006",""
15,"No matter what","Flatbed 28 Trolley","EAGLE-CREEK_FLATBED28_2231D42027_3232.jpg","/eagle-creek-trolley-no-matter-what-flatbed-28-2231d42027",""
16,"No matter what","Flatbed 32 Trolley","EAGLE-CREEK_FLATBED32_2231D42028_4242.jpg","/eagle-creek-trolley-no-matter-what-flatbed-32-2231d42028?id_colour=4168",""
17,"No matter what","Flatbed 20/28/32","EAGLE_CREEK_SET_TROLLEYS.jpg","/index.cfm/fuseaction/products.search/?searchvalue=No+matter+what","Setprijs"
