id,"productnaam","productomschrijving","merk","img","link","oudeprijs","nieuweprijs","kleur","specialeactie",exclusief,uitverkocht,dames,heren,junior,fashion,outdoor,uitrusting,fietsenlopen,gadgets,"categorie",volgorde,actie
1,"Jacquelina","Blazer Dames","CKS","CKS_JAQUELINEA_4141D52036_5252.jpg","","79,99","55","cksblazer.jpg","",1,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,"fashion",1,NULL
2,"Jumpsuit","Dames","Yaya","YAYA_JUMPSUIT_4198D52016_7010.jpg","","89,95","59","#4C5059 marmer.jpg","",1,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,"fashion",4,NULL
3,"Balance","Cross Dress","King Louie","KING-LOUIE_BALANCE_4162D52032_3911.jpg","","79,99","55","balance.jpg","",1,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,"fashion",7,NULL
4,"Nara","Cross Dress","King Louie","KING-LOUIE_NARA_4162D52033_4465.jpg","","79,99","55","nara.jpg","",1,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,"fashion",10,NULL
5,"Flower Lurex","Cardigan Dames","King Louie","KING-LOUIE_FLOWER-LUREX_4144D52101_4444.jpg","","69,99","49","#404F7F #CD1F62","",1,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,"fashion",13,NULL
6,"Date","Horloge","Wewood","2541d52001_6210_01_be.jpg","","","99,95","#B68A6E","In de kijker",NULL,NULL,1,1,NULL,1,NULL,NULL,NULL,1,"fashion",16,NULL
7,"Bird is the word","Juwelenrekje","Kikkerland","KIKKERLAND_BIRD-IS-THE-WORD_2g31c50007_7070_01_be.jpg","","","8,95","#000","In de kijker",NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,"fashion",19,NULL
8,"Timmy","Jas Heren","Premium","PREMIUM_TIMMY_4355D52026_3939.jpg","","","49,99","#4B4858 #D26F6F #1E1E20","Slechts",NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,"fashion",22,NULL
9,"Hemd","","Dstrezzed","DESTREZZED_HEMD_4331D52232_7103.jpg","","79,95","49","hemd1.jpg hemd2.jpg","",NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,"fashion",25,NULL
10,"Trui","Heren","Blend","BLEND_TRUI_4349D52042_4110.jpg","","69,95","49","sneeuw.jpg","",NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,"fashion",28,NULL
